저작물명,앨범명,아티스트명,대리중개사명,제작사명
음파음파 (Umpah Umpah),`The ReVe Festival` Day 2,레드벨벳(Red Velvet),Dreamus,SM Entertainment
Done For Me,호텔 델루나 OST Part.12,펀치 (Punch),카카오 M,냠냠엔터테인먼트
Say Goodbye,호텔 델루나 OST Part.11,송하예,카카오 M,냠냠엔터테인먼트
안녕,호텔 델루나 OST Part.10,폴킴,카카오 M,냠냠엔터테인먼트
내 목소리 들리니,호텔 델루나 OST Part.9,벤 (Ben),카카오 M,냠냠엔터테인먼트
방에 모기가 있어 (Do You Think Of Me?),방에 모기가 있어 (4.4),10cm,카카오 M,매직스트로베리사운드
BUNGEE (Fall in Love),OH MY GIRL SUMMER PACKAGE (FALL IN LOVE),오마이걸 (OH MY GIRL),카카오 M,WM엔터테인먼트
기억해줘요 내 모든 날과 그때를,호텔 델루나 OST Part.7,거미,카카오 M,냠냠엔터테인먼트
그 끝에 그대,호텔 델루나 OST Part.6,청하,카카오 M,냠냠엔터테인먼트
ICY,IT`z ICY,ITZY (있지),Dreamus,JYP Entertainment
내 맘을 볼 수 있나요,호텔 델루나 OST Part.5,헤이즈 (Heize),카카오 M,냠냠엔터테인먼트
너만 너만 너만,호텔 델루나 OST Part.4,양다일,카카오 M,냠냠엔터테인먼트
가라사대,The Movie Star,비와이(BewhY),카카오 M,Dejavu Group
그대라는 시,호텔 델루나 OST Part.3,태연 (TAEYEON),카카오 M,냠냠엔터테인먼트
나의 어깨에 기대어요,호텔 델루나 OST Part.2,10cm,카카오 M,냠냠엔터테인먼트
내 안부,내 안부,이우,소리바다,소리바다
Another Day,호텔 델루나 OST Part.1,"먼데이 키즈 (Monday Kiz), 펀치 (Punch)",카카오 M,냠냠엔터테인먼트
비오는 날 뭐해,비오는 날 뭐해,하은 (라코스테남),지니뮤직,인디안레이블
헤어질 걸 알아,헤어질 걸 알아,폴킴,카카오 M,뉴런뮤직
UN Village,City Lights - The 1st Mini Album,백현 (BAEKHYUN),Dreamus,SM Entertainment
인사,인사,멜로망스(MeloMance),카카오 M,"민트페이퍼, 광합성"
We don`t talk together (Feat. 기리보이) (Prod. SUGA),We don`t talk together,헤이즈 (Heize),지니뮤직,"Stone Music Entertainment, Studio blu"
U GOT IT,PRODUCE X 101 - 31 Boys 5 Concepts,갓츄 (GOT U),지니뮤직,Stone Music Entertainment
헤어져줘서 고마워,헤어져줘서 고마워,벤 (Ben),지니뮤직,메이저나인
비가 내리는 날에는,STABLE MINDSET,윤하,카카오 M,C9엔터테인먼트
괜찮아도 괜찮아 (That`s okay),괜찮아도 괜찮아 (That`s okay) - SM STATION,디오 (D.O.),Dreamus,SM Entertainment
열대야 (Fever),The 7th Mini Album `FEVER SEASON`,여자친구 (GFRIEND),카카오 M,쏘스뮤직
비워 (Beer) (Prod. Way Ched),Dingo X Ambition Musik,"CHANGMO, Hash Swan, ASH ISLAND, 김효은, Leellamarz & The Quiett",카카오 M,"딩고뮤직, Ambition Musik"
Uh-Oh,Uh-Oh,(여자)아이들,카카오 M,큐브엔터테인먼트
Snapping,Flourishing,청하,"지니뮤직, Stone Music Entertainment",MNH Entertainment
Senorita,Senorita,"Shawn Mendes, Camila Cabello",Universal Music,"Island Records, a division of UMG Recordings, Inc."
포장마차,포장마차,황인욱,NHN벅스,How엔터테인먼트
짐살라빔 (Zimzalabim),`The ReVe Festival` Day 1,레드벨벳(Red Velvet),Dreamus,SM Entertainment
술이 문제야,술이 문제야,"장혜진, 윤민수","지니뮤직, Stone Music Entertainment",젤리피쉬 엔터테인먼트
Honesty,Volume 1 EP,Pink Sweat$,Warner Music,"Human Re Sources, LLC"
서울 밤 (Feat. 빈지노),서울 밤,어반 자카파 (Urban Zakapa),카카오 M,메이크어스엔터테인먼트
BIRTHDAY,BIRTHDAY,전소미,YG PLUS,The Black Label
"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",100년제전문대학,기리보이(Giriboy),카카오 M,린치핀뮤직
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),Red Moon : To You My Light,마크툽 (Maktub),Warner Music,MAKTUB Company
솔직하게 말해서 나,솔직하게 말해서 나,김나영,카카오 M,네버랜드엔터테인먼트
BAND,BAND,"창모, Hash Swan, ASH ISLAND, 김효은","지니뮤직, Stone Music Entertainment",앰비션뮤직
누구 없소 (NO ONE) (Feat. B.I of iKON),24℃,이하이,YG PLUS,YG Entertainment
대충 입고 나와,대충 입고 나와,우디(Woody),지니뮤직,인디안레이블
사랑이 식었다고 말해도 돼,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),카카오 M,먼데이키즈 컴퍼니
Speechless (Full),Aladdin (Original Motion Picture Soundtrack),Naomi Scott,Universal Music,"Disney Enterprises,Inc."
A Whole New World,Aladdin (Original Motion Picture Soundtrack),"Mena Massoud, Naomi Scott",Universal Music,"Disney Enterprises,Inc."
Arabian Nights (2019),Aladdin (Original Motion Picture Soundtrack),Will Smith,Universal Music,"Disney Enterprises,Inc."
Prince Ali,Aladdin (Original Motion Picture Soundtrack),Will Smith,Universal Music,"Disney Enterprises,Inc."
교통정리 (Feat. 헤이즈),교통정리,기리보이(Giriboy),카카오 M,린치핀뮤직
안녕하세요,Another,김재환,"지니뮤직, Stone Music Entertainment",스윙엔터테인먼트
너에게 못했던 내 마지막 말은,너에게 못했던 내 마지막 말은,다비치,지니뮤직,Stone Music Entertainment
비가 오잖아,비가 오잖아,"소유 (SOYOU), 오반",카카오 M,"스타쉽엔터테인먼트, 로맨틱팩토리"
AH YEAH (아예),WE,WINNER,YG PLUS,YG Entertainment
오월의 어느 봄날 (Feat. 첸(CHEN)),오월의 어느 봄날,임한별,카카오 M,모스트웍스
니 소식,니 소식,송하예,카카오 M,더하기미디어
I Don`t Care,I Don`t Care,"Ed Sheeran, Justin Bieber",Warner Music,Atlantic Records UK
돈 Call Me (Prod. BRLLNT),Dingo X 염따,염따 (YumDDa),Dreamus,"딩고뮤직, 염따"
다섯 번째 계절 (SSFWL),THE FIFTH SEASON,오마이걸 (OH MY GIRL),카카오 M,WM엔터테인먼트
Goodbye,Goodbye,박효신,카카오 M,글러브엔터테인먼트
If I Can`t Have You,If I Can`t Have You,Shawn Mendes,Universal Music,"Island Records, a division of UMG Recordings, Inc."
이 밤,skepticism,양다일,카카오 M,브랜뉴뮤직
FANCY,FANCY YOU,TWICE,Dreamus,JYP Entertainment
"GO HIGH (Feat. 우원재, 창모 (CHANGMO), The Quiett) (Prod. CODE KUNST)",고등래퍼3 Final,이영지,지니뮤직,Stone Music Entertainment
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),MAP OF THE SOUL : PERSONA,방탄소년단,Dreamus,빅히트 엔터테인먼트
소우주 (Mikrokosmos),MAP OF THE SOUL : PERSONA,방탄소년단,Dreamus,빅히트 엔터테인먼트
Make It Right,MAP OF THE SOUL : PERSONA,방탄소년단,Dreamus,빅히트 엔터테인먼트
Dionysus,MAP OF THE SOUL : PERSONA,방탄소년단,Dreamus,빅히트 엔터테인먼트
HOME,MAP OF THE SOUL : PERSONA,방탄소년단,Dreamus,빅히트 엔터테인먼트
Jamais Vu,MAP OF THE SOUL : PERSONA,방탄소년단,Dreamus,빅히트 엔터테인먼트
Intro : Persona,MAP OF THE SOUL : PERSONA,방탄소년단,Dreamus,빅히트 엔터테인먼트
있어줄래,있어줄래,길구봉구,지니뮤직,뮤직웍스
Kill This Love,KILL THIS LOVE,BLACKPINK,YG PLUS,YG Entertainment
Don`t Know What To Do,KILL THIS LOVE,BLACKPINK,YG PLUS,YG Entertainment
"나만, 봄",사춘기집Ⅰ 꽃기운,볼빨간사춘기,카카오 M,쇼파르뮤직
별 보러 갈래?,사춘기집Ⅰ 꽃기운,볼빨간사춘기,카카오 M,쇼파르뮤직
Mermaid,사춘기집Ⅰ 꽃기운,볼빨간사춘기,카카오 M,쇼파르뮤직
나들이 갈까,사춘기집Ⅰ 꽃기운,볼빨간사춘기,카카오 M,쇼파르뮤직
사월이 지나면 우리 헤어져요 (Beautiful goodbye),"사월, 그리고 꽃 - The 1st Mini Album",첸 (CHEN),Dreamus,SM Entertainment
비올레타,HEART*IZ,IZ*ONE (아이즈원),"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, OFF THE RECORD Entertainment"
시든 꽃에 물을 주듯,시든 꽃에 물을 주듯,HYNN(박혜원),카카오 M,엔터테인먼트뉴오더
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,Universal Music,"Darkroom, Interscope Records"
진심이 담긴 노래 (True Song),진심이 담긴 노래 (True Song),케이시 (Kassy),카카오 M,넥스타엔터테인먼트
사계 (Four Seasons),사계 (Four Seasons),태연 (TAEYEON),Dreamus,SM Entertainment
Blue,사계 (Four Seasons),태연 (TAEYEON),Dreamus,SM Entertainment
On My Way,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",Sony Music,MER Recordings
노래방에서,장범준 3집,장범준,카카오 M,버스커버스커
당신과는 천천히,장범준 3집,장범준,카카오 M,버스커버스커
일산으로,장범준 3집,장범준,카카오 M,버스커버스커
SHE`S FINE,She`s Fine,헤이즈 (Heize),지니뮤직,"Stone Music Entertainment, Studio blu"
그러니까 (Feat. Colde),She`s Fine,헤이즈 (Heize),지니뮤직,"Stone Music Entertainment, Studio blu"
그건 아마 우리의 잘못은 아닐 거야,Our love is great,백예린,Dreamus,JYP Entertainment
야간비행 (魔女の花),Our love is great,백예린,Dreamus,JYP Entertainment
혼자,혼자,거미,카카오 M,씨제스엔터테인먼트
눈 (Prod. GIRIBOY),고등래퍼3 팀대항전 Part 1,"강현준 (Lil tachi), 김호진 (HOTCHKISS)",지니뮤직,Stone Music Entertainment
고고베베 (gogobebe),White Wind,마마무 (Mamamoo),카카오 M,RBW
주저하는 연인들을 위해,전설,잔나비,카카오 M,페포니 뮤직
봄 (Feat. 산다라박),Spring,박봄,NHN벅스,디네이션
술이 달다 (Feat. 크러쉬),sleepless in __________,에픽하이 (EPIK HIGH),카카오 M,OURS Co.
호불호 (Feat. 기리보이) (Prod. By GRAY),호불호,우원재,"지니뮤직, Stone Music Entertainment",AOMG
오늘 밤에,Lots of Love,홍진영,카카오 M,뮤직K
그러나,4,10cm,카카오 M,매직스트로베리사운드
여자친구,여자친구,하은요셉,지니뮤직,"인디안레이블, 메이저나인"
wish you were gay,wish you were gay,Billie Eilish,Universal Music,"Darkroom, Interscope Records"
누아르 (Noir),누아르 (Noir),선미,카카오 M,메이크어스엔터테인먼트
Sucker,Sucker,Jonas Brothers,Universal Music,Jonas Brothers Recording
사랑해서 그래,강민경 1집,강민경,지니뮤직,Stone Music Entertainment
Senorita,I made,(여자)아이들,카카오 M,큐브엔터테인먼트
"미운 날 (The day, I hate myself)",29,닐로 (Nilo),Universal Music,리메즈
멍청이(twit),멍청이(twit),화사(Hwa Sa),카카오 M,RBW
달라달라,IT`z Different,ITZY (있지),Dreamus,JYP Entertainment
Talk,Talk,"Khalid, Disclosure",Sony Music,"Right Hand Music Group, LLC/RCA Records"
오랜만이야 (Feat. Zion.T),HELLO,로꼬 (LOCO),카카오 M,AOMG
i`m so tired...,i`m so tired...,"Lauv, Troye Sivan",NHN벅스,뮤직테이블
이 노래가 클럽에서 나온다면,이 노래가 클럽에서 나온다면,우디(Woody),지니뮤직,인디안레이블
Heu ! (Full Ver.),Heu ! (Full Ver.),수퍼비,"지니뮤직, Stone Music Entertainment",영앤리치 레코즈
신청곡 (Feat. SUGA of BTS),신청곡,이소라,NHN벅스,에르타알레
Home,6TH MINI ALBUM `YOU MADE MY DAWN`,세븐틴,카카오 M,플레디스
7 rings,7 rings,Ariana Grande,Universal Music,"Republic Records, a division of UMG Recordings,Inc"
초록빛,초록빛,폴킴,카카오 M,뉴런뮤직
해야 (Sunrise),The 2nd Album `Time for us`,여자친구 (GFRIEND),카카오 M,쏘스뮤직
띵 (Prod. By 기리보이),Dingo X Indigo Music,"Jvcki Wai, Young B, Osshun Gum, 한요한",카카오 M,"인디고뮤직, 딩고뮤직"
Dancing With A Stranger,Dancing With A Stranger,"Sam Smith, Normani",Universal Music,Universal Music
"길 (Song by 아이유, 헨리, 조현아, 양다일)",THEN & NOW,god,카카오 M,"iHQ, god"
%%(응응),PERCENT,에이핑크 (Apink),카카오 M,플레이엠엔터테인먼트
넘쳐흘러,Circular,엠씨더맥스 (M.C The Max),카카오 M,325 이엔씨
벌써 12시,벌써 12시,청하,"지니뮤직, Stone Music Entertainment",MNH Entertainment
옥탑방,FLY HIGH PROJECT #2 `옥탑방`,엔플라잉 (N.Flying),카카오 M,FNC엔터테인먼트
사계 (하루살이),Circular,엠씨더맥스 (M.C The Max),카카오 M,325 이엔씨
습관 (Bad Habits),안녕,숀 (SHAUN),Warner Music,디씨톰엔터테인먼트
그때가 좋았어,그때가 좋았어,케이시 (Kassy),카카오 M,넥스타엔터테인먼트
알았다면,알았다면,장덕철,카카오 M,리메즈
MILLIONS,MILLIONS,WINNER,YG PLUS,YG Entertainment
사랑 알 수 없나봐,WHY : 당신이 연인에게 차인 진짜 이유 OST - Part.3,폴킴,NHN벅스,"쇼파르뮤직, 이들미디어"
첫눈에,첫눈에,헤이즈 (Heize),지니뮤직,"Stone Music Entertainment, Studio blu"
Sunflower (Spider-Man : Into The Spider-Verse),스파이더맨 : 뉴 유니버스 OST (Spider-Man : Into The Spider-Verse OST),Post Malone & Swae Lee,Universal Music,Universal Music
Love Shot,LOVE SHOT - The 5th Album Repackage,EXO,Dreamus,SM Entertainment
We all lie,SKY 캐슬 OST Part.4,하진,Warner Music,JTBC콘텐트허브
180도,180˚,벤 (Ben),지니뮤직,메이저나인
동화 (Feat. 아이유),동화,김동률,카카오 M,뮤직팜
행복,행복,오반 (OVAN),Warner Music,로맨틱팩토리
RBB (Really Bad Boy),RBB - The 5th Mini Album,레드벨벳(Red Velvet),Dreamus,SM Entertainment
너도 그냥 날 놓아주면 돼,너도 그냥 날 놓아주면 돼,윤건,지니뮤직,센토엔터테인먼트
Wind flower,BLUE;S,마마무 (Mamamoo),카카오 M,RBW
흔한 이별,흔한 이별,허각,카카오 M,플레이엠엔터테인먼트
첫눈처럼 너에게 가겠다 (Prod. 로코베리),첫눈처럼 너에게 가겠다,김범수,"지니뮤직, Stone Music Entertainment","영엔터테인먼트, 하얀달엔터테인먼트"
아낙네,XX,송민호,YG PLUS,YG Entertainment
come out and play,come out and play,Billie Eilish,Universal Music,"Darkroom, Interscope Records"
알러뷰,알러뷰,EXID,Sony Music,바나나컬쳐
그대가 내 안에 박혔다,그대가 내 안에 박혔다,황치열,NHN벅스,How엔터테인먼트
봄바람,1¹¹=1 (POWER OF DESTINY),Wanna One (워너원),지니뮤직,"SWING Entertainment, Stone Music Entertainment"
SOLO,SOLO,제니 (JENNIE),YG PLUS,YG Entertainment
아름답고도 아프구나,HOUR MOMENT,비투비 (BTOB),카카오 M,큐브엔터테인먼트
북향 (Feat. 오혁),북향,다이나믹 듀오 (Dynamic Duo),"지니뮤직, Stone Music Entertainment",아메바컬쳐
소년점프 (Feat. 배기성),소년점프,마미손,지니뮤직,Beautiful Noise
신용재,신용재,하은 (라코스테남),지니뮤직,인디안레이블
Goodbye,뷰티 인사이드 OST Part.6,웬디,뮤직앤뉴,"뮤직앤뉴, 스튜디오앤뉴"
YES or YES,YES or YES,TWICE,Dreamus,JYP Entertainment
너는 어땠을까,별,노을,카카오 M,씨제스엔터테인먼트
"thank u, next","thank u, next",Ariana Grande,Universal Music,"Republic Records, a division of UMG Recordings,Inc"
POP/STARS,POP/STARS,"(여자)아이들, Madison Beer, Jaira Burns","지니뮤직, Stone Music Entertainment",라이엇 게임즈
수퍼비와 (Feat. BewhY) (Prod. BewhY),쇼미더머니 777 Semi Final,SUPERBEE,지니뮤직,Stone Music Entertainment
NoNo (Feat. 사이먼 도미닉) (Prod. 코드 쿤스트),쇼미더머니 777 Semi Final,루피(Loopy),지니뮤직,Stone Music Entertainment
Tempo,DON`T MESS UP MY TEMPO - The 5th Album,EXO,Dreamus,SM Entertainment
Gravity,DON`T MESS UP MY TEMPO - The 5th Album,EXO,Dreamus,SM Entertainment
닿은 순간 (Ooh La La La),DON`T MESS UP MY TEMPO - The 5th Album,EXO,Dreamus,SM Entertainment
44036,DON`T MESS UP MY TEMPO - The 5th Album,EXO,Dreamus,SM Entertainment
Sign,DON`T MESS UP MY TEMPO - The 5th Album,EXO,Dreamus,SM Entertainment
여기 있을게 (Smile On My Face),DON`T MESS UP MY TEMPO - The 5th Album,EXO,Dreamus,SM Entertainment
너를 만나,너를 만나,폴킴,카카오 M,뉴런뮤직
라비앙로즈 (La Vie en Rose),COLOR*IZ,IZ*ONE (아이즈원),지니뮤직,"Stone Music Entertainment, OFF THE RECORD Entertainment"
Waste It On Me (Feat. BTS (방탄소년단)),Waste It On Me,Steve Aoki,Sony Music,"Ultra Records, LLC"
내 생에 아름다운,뷰티 인사이드 OST Part.4,케이윌 (K.Will),뮤직앤뉴,"뮤직앤뉴, 스튜디오앤뉴"
Friend,Friend,비투비 (BTOB),카카오 M,큐브엔터테인먼트
Save (Feat. 팔로알토) (Prod. 코드 쿤스트),쇼미더머니 777 Episode 3,루피(Loopy),지니뮤직,Stone Music Entertainment
Bohemian Rhapsody,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST),Queen,Universal Music,"Virgin EMI Records, a division of Universal"
Kiss And Make Up,Dua Lipa (Complete Edition),"Dua Lipa, BLACKPINK",Warner Music,Warner Music
친구로 지내자면서 (Prod. By 전태익),친구로 지내자면서,황인욱,뮤직파운드,678 MUSIC
꿈처럼 내린,뷰티 인사이드 OST Part.3,다비치,뮤직앤뉴,"뮤직앤뉴, 스튜디오앤뉴"
벚꽃연가,백일의 낭군님 OST Part 3,첸 (CHEN),지니뮤직,"Stone Music Entertainment, 팝뮤직"
고백,고백,양다일,카카오 M,브랜뉴뮤직
멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),ZZZ,자이언티(Zion.T),YG PLUS,The Black Label
Hate You (Feat. 우원재) (Prod. 코드 쿤스트),쇼미더머니 777 Episode 2,pH-1,지니뮤직,Stone Music Entertainment
너에게,연애플레이리스트3 Part 2,김민석,카카오 M,스페이스오디티
삐삐,삐삐,아이유 (IU),카카오 M,카카오 M
Paris In The Rain,I met you when I was 18. (the playlist),Lauv,NHN벅스,뮤직테이블
시간이 들겠지 (Feat. Colde),시간이 들겠지,로꼬 (LOCO),카카오 M,AOMG
I Like Me Better,I met you when I was 18. (the playlist),Lauv,NHN벅스,뮤직테이블
Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),쇼미더머니 777 Episode 1,"pH-1, Kid Milli, 루피 (Loopy)",지니뮤직,Stone Music Entertainment
사임사임 (Feat. CHANGMO),쇼미더머니 777 Episode 1,"Coogie, SUPERBEE, D.Ark",지니뮤직,Stone Music Entertainment
Shallow,영화 스타 이즈 본 OST (A Star Is Born OST),"Lady Gaga, Bradley Cooper",Universal Music,Interscope Records
Without Me,Without Me,Halsey,Universal Music,"Capitol Records, LLC"
이별길 (GOODBYE ROAD),NEW KIDS : THE FINAL,iKON,YG PLUS,YG Entertainment
나,r,박원,카카오 M,메이크어스엔터테인먼트
구름,뷰티 인사이드 OST Part 1,로시 (Rothy),뮤직앤뉴,"뮤직앤뉴, 스튜디오앤뉴"
comethru,"summer,",Jeremy Zucker,Universal Music,Universal Music
사랑에 연습이 있었다면 (Prod. 2soo),사랑에 연습이 있었다면,임재현,카카오 M,"엔에스씨컴퍼니, 디원미디어"
동화,The Fairy Tale,멜로망스(MeloMance),카카오 M,"민트페이퍼, 광합성"
Better Now,beerbongs & bentleys,Post Malone,Universal Music,"2011 Universal Records, a Division of UM"
2002,Speak Your Mind (Deluxe),Anne-Marie,Warner Music,Atlantic Records UK
Day 1 ◑,Love Me / Love Me Not,HONNE,Warner Music,Atlantic Records UK
In My Blood,Shawn Mendes,Shawn Mendes,Universal Music,"Island Records, a division of UMG Recordings, Inc."
Done For Me,Done For Me,"Charlie Puth, Kehlani",Warner Music,Artist Partners
Psycho (Feat. Ty Dolla $ign),Psycho,Post Malone,Universal Music,"Republic Records, a division of UMG Recordings,Inc"
Lullaby,Lullaby,"Sigala, Paloma Faith",Sony Music,Ministry of Sound Recordings Ltd.
Never Enough,위대한 쇼맨 (The Greatest Showman) OST,Loren Allred,Warner Music,Atlantic Records UK
Martini Blue,Her,DPR LIVE,카카오 M,DREAM PERFECT REGIME
Lip & Hip,Lip & Hip,현아 (HyunA),카카오 M,큐브엔터테인먼트
갈 수가 없어,이번 생은 처음이라 OST Part 8,벤 (Ben),지니뮤직,Stone Music Entertainment
Rewrite The Stars,위대한 쇼맨 (The Greatest Showman) OST,"Zac Efron, Zendaya",Warner Music,Atlantic Records UK
뻔한 이별,소유X성시경 `뻔한 이별`,"소유, 성시경",카카오 M,스타쉽엔터테인먼트
Twilight,1-1=0 (NOTHING WITHOUT YOU),Wanna One (워너원),Stone Music Entertainment,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT"
Snowman,Snowman,Sia,Warner Music,"Monkey Puzzle, Atlantic"
러브스토리 (Feat. 크러쉬),러브스토리 (Love Story),수란 (SURAN),카카오 M,밀리언마켓
박수,"SEVENTEEN 2ND ALBUM `TEEN, AGE`",세븐틴,카카오 M,플레디스
Too Good At Goodbyes,The Thrill Of It All (Special Edition),Sam Smith,Universal Music,Universal Music
Palace,The Thrill Of It All (Special Edition),Sam Smith,Universal Music,Universal Music
"All Falls Down (Feat. Noah Cyrus, Digital Farm Animals)",Different World,Alan Walker,Sony Music,MER Musikk
This Is Me,위대한 쇼맨 (The Greatest Showman) OST,"Keala Settle, The Greatest Showman Ensemble",Warner Music,Atlantic Records UK
빈차 (Feat. 오혁),WE`VE DONE SOMETHING WONDERFUL,에픽하이 (EPIK HIGH),YG PLUS,YG Entertainment
헤어질 수 밖에,헤어질 수 밖에,김나영,카카오 M,네버랜드엔터테인먼트
가을 안부,가을 안부,먼데이 키즈 (Monday Kiz),지니뮤직,먼데이키즈 컴퍼니
너를 찾아서,건반 위의 하이에나,윤종신,카카오 M,한국방송공사
Perhaps Love (사랑인가요) (Prod. by 박근태),Your BGM Vol.1,"에릭남, 치즈 (CHEEZE)",카카오 M,스페이스오디티
썸 탈꺼야,Red Diary Page.1,볼빨간사춘기,카카오 M,쇼파르뮤직
나의 사춘기에게,Red Diary Page.1,볼빨간사춘기,카카오 M,쇼파르뮤직
Blue,Red Diary Page.1,볼빨간사춘기,카카오 M,쇼파르뮤직
고쳐주세요,Red Diary Page.1,볼빨간사춘기,카카오 M,쇼파르뮤직
상상,Red Diary Page.1,볼빨간사춘기,카카오 M,쇼파르뮤직
길,정규 1집 Part 1 `길`,폴킴,카카오 M,"뉴런뮤직, 로엔엔터테인먼트"
잠 못 드는 밤 비는 내리고,꽃갈피 둘,아이유 (IU),카카오 M,"페이브엔터테인먼트,카카오 M"
비밀의 화원,꽃갈피 둘,아이유 (IU),카카오 M,"페이브엔터테인먼트,카카오 M"
매일 그대와,꽃갈피 둘,아이유 (IU),카카오 M,"페이브엔터테인먼트,카카오 M"
특별해,ANOTHER LIGHT,젝스키스,지니뮤직,YG Entertainment
The Spectre,The Spectre,Alan Walker,Sony Music,MER Musikk
She (Hidden Track No.V 1월 선정곡),She (Hidden Track No.V 1월 선정곡),잔나비,카카오 M,페포니 뮤직
베베 (BABE),Following,현아 (HyunA),카카오 M,큐브엔터테인먼트
"Red Sun (Feat. ZICO, Swings)",쇼미더머니 6 Episode 4,행주,Stone Music Entertainment,Stone Music Entertainment
Look What You Made Me Do,Look What You Made Me Do,Taylor Swift,"Big Machine Records, LLC","Big Machine Label Group, LLC"
활활 (Burn It Up),1X1=1(TO BE ONE),Wanna One (워너원),Stone Music Entertainment,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT"
N분의 1 (Feat. 다이나믹듀오),쇼미더머니 6 Episode 1,"넉살, 한해, 조우찬, 라이노",Stone Music Entertainment,Stone Music Entertainment
요즘것들 (Feat. ZICO & DEAN),쇼미더머니 6 Episode 1,"행주, 양홍원 (Young B), Hash Swan, 킬라그램(Killagramz)",Stone Music Entertainment,Stone Music Entertainment
LOVE ME LOVE ME,OUR TWENTY FOR,WINNER,지니뮤직,YG Entertainment
ISLAND,OUR TWENTY FOR,WINNER,지니뮤직,YG Entertainment
Holiday,Holiday Night - The 6th Album,소녀시대,Dreamus,SM Entertainment
귀를 기울이면 (LOVE WHISPER),The 5th Mini Album <PARALLEL>,여자친구 (GFRIEND),카카오 M,쏘스뮤직
있다면,NU`EST W `있다면`,뉴이스트 W,Stone Music Entertainment,플레디스
있잖아,연애플레이리스트2 OST Part 2,폴킴,카카오 M,스페이스오디티
Sriracha,Sriracha,Marteen,Warner Music,Warner Music
DINOSAUR,SUMMER EPISODE,악동뮤지션 (AKMU),YG PLUS,YG Entertainment
Artist,TELEVISION,지코 (ZICO),"지니뮤직, Stone Music Entertainment",세븐시즌스
FANXY CHILD (Feat. FANXY CHILD),TELEVISION,지코 (ZICO),"지니뮤직, Stone Music Entertainment",세븐시즌스
Sorry Not Sorry,Tell Me You Love Me (Deluxe),Demi Lovato,Universal Music,"Island Records, a division of UMG Recordings, Inc."
아침에 (Feat. Bryn),아침에,양홍원 (Young B),카카오 M,인디고뮤직
FIVE,Pink UP,에이핑크 (Apink),카카오 M,플레이엠엔터테인먼트
나로 말할 것 같으면 (Yes I am),Purple,마마무 (Mamamoo),Stone Music Entertainment,RBW
"Feels (Feat. Pharrell Williams, Katy Perry & Big Sean)",Feels,Calvin Harris,Sony Music,Sony Music
Why Don`t You Know (Feat. 넉살),Hands on Me,청하,"지니뮤직, Stone Music Entertainment",MNH Entertainment
NEVER,PRODUCE 101 - 35 Boys 5 Concepts,국민의 아들,Stone Music Entertainment,Stone Music Entertainment
Oh Little Girl,PRODUCE 101 - 35 Boys 5 Concepts,슬레이트,Stone Music Entertainment,Stone Music Entertainment
New Rules,Dua Lipa (Deluxe),Dua Lipa,Warner Music,Warner Music
IDGAF,Dua Lipa (Deluxe),Dua Lipa,Warner Music,Warner Music
LONELY,LONELY,씨스타 (Sistar),카카오 M,스타쉽엔터테인먼트
CALLING YOU,CALLING YOU,하이라이트(Highlight),카카오 M,어라운드 어스
사랑앓이 (With 김나영),FTISLAND 10th Anniversary Special Digital Single,FTISLAND (FT 아일랜드),카카오 M,FNC엔터테인먼트
There For You,There For You,"Martin Garrix, Troye Sivan",Sony Music,Epic Amsterdam
지나쳐 (FEAT. DEAN),BLEACHED,로꼬 (LOCO),카카오 M,AOMG
울고 싶지 않아,SEVENTEEN 4th Mini Album ‘Al1’,세븐틴,카카오 M,플레디스
혼자,혼자,어반 자카파 (Urban Zakapa),카카오 M,메이크어스엔터테인먼트
처음부터 너와 나,군주 - 가면의 주인 OST Part 2,볼빨간사춘기,다날엔터테인먼트,더하기미디어
SIGNAL,SIGNAL,TWICE,Dreamus,JYP Entertainment
맞지?,언니들의 슬램덩크 시즌 2,언니쓰,카카오 M,KBS미디어
New Face,PSY 8th 4X2=8,싸이 (PSY),지니뮤직,YG Entertainment
I LUV IT,PSY 8th 4X2=8,싸이 (PSY),지니뮤직,YG Entertainment
미치고 싶다,한동근 1ST ALBUM ‘Your Diary’,한동근,카카오 M,플레디스
"I`m The One (Feat. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne)",I`m the One,DJ Khaled,Sony Music,Epic/We The Best
아프지 마요,THE 20TH ANNIVERSARY,젝스키스,지니뮤직,YG Entertainment
TOMBOY,23,혁오 (hyukoh),지니뮤직,"두루두루AMC, HIGHGRND"
이름에게,Palette,아이유 (IU),카카오 M,"페이브엔터테인먼트,카카오 M"
